;title;rating;ratingLevel;release year;user rating score;user rating size
185;The Night Shift;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;93.0;80
186;Reign;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;79.0;80
187;Fuller House;TV-G;Suitable for all ages.;2016;90.0;80
188;Gilmore Girls: A Year in the Life;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;77.0;80
189;Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;84.0;80
190;The Wedding Planner;PG-13;language and some sexual humor;2001;68.0;82
191;Blow;R;pervasive drug content and language, some violence and sexuality;2001;78.0;80
192;High School Musical;TV-G;Suitable for all ages.;2006;64.0;80
193;Bones;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;97.0;80
194;Law & Order: Special Victims Unit;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;97.0;80
195;NCIS;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;97.0;80
196;Army Wives;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;61.0;80
197;Private Practice;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;88.0;80
198;Revenge;TV-PG;Parental guidance suggested. May not be suitable for all children.;2015;84.0;80
199;Scandal;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;92.0;80
200;Magic Mike;R;pervasive sexual content, brief graphic nudity, language and some drug use;2012;77.0;80
201;Trouble with the Curve;PG-13;Parents strongly cautioned. May be inappropriate for children under 13.;2012;63.0;80
202;Home;PG;mild action and some rude humor;2015;94.0;80
203;Skin Wars;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;69.0;80
204;Felipe Neto: My Life Makes No Sense;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
205;Lost;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2010;98.0;80
206;Weeds;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2012;85.0;80
207;The Tudors;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2010;89.0;82
208;Lie to Me;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2010;89.0;80
209;Charmed;TV-PG;Parental guidance suggested. May not be suitable for all children.;2005;90.0;80
210;White Collar;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;93.0;80
211;House of Cards;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;91.0;80
212;The Killing;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;73.0;80
213;Unconditional;PG-13;some violent content and mature thematic elements;2012;68.0;82
214;The Blacklist;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;96.0;80
215;The Fosters;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;73.0;80
216;Witches of East End;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;86.0;82
217;Bitten;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;56.0;80
218;London Has Fallen;R;strong violence and language throughout;2016;96.0;80
219;Marvel's Jessica Jones;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;83.0;80
220;Bloodline;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
